NOTE: This timeline is rough. It was 95% accurate at the time of the 60th anniverary (November 2023). It has not been updated since then.,,
SHOW,FORMAT,TITLE
T H E   T I M E   W A R  [GALLIFREY COUNSEL & PRE WAR DOCTORS],,
Doctor Who,Webcast,The Archive of Islos
,,The Sentinel of the Fifth Galaxy
,,Planet of the Mechanoids
,,The Deadly Ally
,,Day of Reckoning
,Big Finish,Master Thief
,,Lesser Evils
,,Celestial Intervention
,,Soldier Obscura
,,The Devil You Know
,,Desperate Measures
,,Havoc
,,Partisans
,,Collateral
,,Assassins
,,Hostiles
,,Nevernor
,,Mother Tongue
,,Unity
,,Deception
,,Dissolution
,,Beyond
,,Homecoming
,,The Last Days of Freme
,,The Passenger
,,Collateral Victim
,,The First Days of Phaidon
,,Aimed at the Body
,,Lightspeed
,,The Bookshop at the End of the World
,,Interlude
,,The Echo Chamber
,,Towards Zero
,,Castle Hydra
,,Effect and Cause
,BBC Book,Natural Regression
,,The Labyrinthine Web
,,The Enigma of Sisterhood
,Big Finish,The Rulers of the Universe
,,The Sontaran Ordeal
,,Day of the Vashta Nerada
,,A Heart on Both Sides
,,All Hands on Deck
,,The Starship Theseus
,,Echos of War
,,The Conscript
,,One Life
,BBC TV,The Last Day
,Big Finish,The Lords of Terror
,,Planet of the Ogrons
,,In the Garden of Death
,,Jonah
,,State of Bliss
,,The Famished Lands
,,Fugitive in Time
,,The War Valeyard
,,Palindrome (Part 1 + 2)
,,Dreadshade
,,Restoration of the Daleks
,,Concealed Weapon
,,The Survivor
,,The Coney Island Chameleon
,,The Missing Link
,,Darkness and Light
,,Lies in Ruins
,,The Edge of Redemption
,,The Scaramancer
,,The Castle of Kurnos 5
,,The Cognition Shift
,,Prequel to Susan’s War
,,Sphere of Influence
,,The Uncertain Shore
,,Assets of War
,,The Shoreditch Intervention
,,Echoes of Extinction (Eight Doctor Side)
,,"He Kills Me, He Kills Me Not"
,,The Enemy of My Enemy
,BBC Book,Doctor Who and the Time War
,,Ghost of Christmas Past
,BBC TV,The Night Of The Doctor
W A R   D O C T O R  (John Hurt),,
Doctor Who,Big Finish,Light The Flame
,,Lion Hearts
,,The Shadow Squad
,,Consequences
,,Destroyer
,,Saviour
,,The Keeper of Light
,,Temmosus
,,Rewind
,,
,Comic,The lost dimension
,BBC Book,The Third Wise Man
,BBC book,The red & the blue
,BBC Book,Engines of War
,Big Finish,The Innocent
,,The Thousand Worlds
,,The Heart of the Battle
,,Legion of the Lost
,,A Thing of Guile
,,The Neverwhen
,,The Shadow Vortex
,,The Eternity Cage
,,Eye of Harmony
,,Pretty Lies
,,The Lady of Obsidian
,,The Enigma Dimension
,BBC Book,Decoy
,,The Stranger
,BBC Book,The Twins in the Wood
,Big Finish,Call for the Dead
,,The Glittering Prize
,,The Persistence of Dreams
,,Sins of the Father
,,From the Flames
,,The Master’s Dalek Plan
,,Shockwave
,,He Who Wins
,,Beneath the Viscold
,,The Good Master
,,The Sky Man
,,The Heavenly Paradigm
,,The Sincerest Form of Flattery
,,A Quiet Night In
,,The Orphan
,,Unfinished Business
,,The Forest of Penitence
,,The Players
,,Boundaries
,,The Last Line
,BBC Book,Pandoric’s Box
"At this point the Doctor believes he (The War Doctor) has destroyed Gallifrey, the Time Lords & the Daleks to end the Time War, and Regenerated into Ninth Doctor.",,
N I N T H   D O C T O R  (Christopher Eccleston),,
Torchwood,Big Finish,The Dying Room
,,Curious
,,Madam I’m
,,Goodbye Picadilly
,,Parasite
,,Ashenden
,,The Black Knight
,,The Unbegotten
,,The Dollhouse
,,Double (Part 1)
,,Double (Part 2)
,,Dead Plates
,,New Girl
,,Through The Ruins
,,Uprising
,,The Law Machines
,,Blind Summit
,,9 to 5
,,The Five People You Kill In Middlesbrough
,,My Guest Tonight
,,Lola
,,Less Majesty
,,One Rule
Doctor Who,,Battle Scars
,BBC Book,Double Falsehood
,,The Hungry Night
,Big Finish,The Oncoming Storm
,,The Bleeding Heart
,BBC Book,The Patchwork Pierrot
,Big Finish,Human Conflict
,,I Was Churchill’s Double
,BBC Book,A Day To Yourselves
,,Grounded
,Big Finish,Sphere of Freedom
,,Cataclysm
,,Food Fight
,,"Girl, Deconstructed"
,,Fright Motif
,,Planet of the End
,,The Hunting Season
,,The Curse of Lady Macbeth
,,Monsters In Montropolis
,,Fond Farewell
,,Way of the Burryman
,,The Forth Generation
,,Station to Station
,,The False Dimitry
,,Auld Lang Syne
,,Salvation Nine
,,Last Of The Zetacene
,,Break The Ice
,,The Seas of Titan
,,Lay Down Your Arms
,,Flatoack
,,The Colour of Terror
,,The Blooming Meanace
,,Red Darkness
,,The Green Gift
,,Northern Lights
,,The Beautiful Game
,BBC Audio,"Project: WHO? - Not an episode, about the relauhc of doctor who. Interesting to listen to."
,BBC TV,Rose
,BBC Book,The Beast of Babylon
,BBC TV,Revenge of the Nestene
,,The End Of The World
,,The Unquiet Dead
,BBC Book,Rose and the Snow Window
,BBC TV,Aliens of London
,,World War Three
Torchwood,Big Finish,Suckers
Doctor Who,,The Window on the Moor
,BBC Audio,The Ashes of Eternity
,BBC Webcast,Sven and the Scarf
,BBC TV,Dalek
,BBC Webcast,Dalek: Spoof Scenes
,Big Finish,The Other Side
,BBC TV,The Long Game
,Game,Robot rose
,Big Finish,Her Own Bootstraps
,BBC Book,The Red Bicycle
,,What I did on my Christmas Holidays by Sally Sparrow
,,The Lost Diaries of Winston Spencer Churchill
,BBC TV,Father’s Day
,BBC Book,The Clockwise Man
,,The Monsters Inside
,,Winner Takes All
